x1,x2,x3,x4,x5,x6,x7,x8,x9
301.0,301.0,301.0,301.0,301.0,301.0,301.0,301.0,301.0
301.0,301.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,-1.0,-1.0,2.0,0.8,4.3999999999999995,1.9999749094205155,0.8000041352542175,4.399839642472742
1.0197430821757982,-0.9918927873569638,-0.9570274940867786,1.9489202814437423,0.8213645247044055,4.196323552112894,1.9492155506232733,0.8212879300232789,4.1980909440256005
1.0389843110124655,-0.9835742413995344,-0.916038181119488,1.8996124225190223,0.8422694627325585,4.003253061461743,1.8998912540363566,0.8421955664680569,4.004915755213573
1.0577409072565254,-0.9750488760276027,-0.8769291789825071,1.8519780550101097,0.8627311320510048,3.82016078323061,1.8522414918275443,0.8626598094937099,3.8217259725201735
1.0760291408490164,-0.9663210452096602,-0.8396036616690845,1.8059247068787447,0.8827649318070843,3.646461400126675,1.8061737919297882,0.8826960985651167,3.6479358699044173
1.0938643830951211,-0.9573949540563004,-0.8039704615844188,1.7613654156407192,0.902385392283861,3.4816087934096793,1.7616006866386869,0.9023187475040328,3.4829979474759685
1.11126115458179,-0.9482746702595796,-0.7699437027195651,1.7182183729791447,0.9216062205298742,3.325093096366573,1.718440912571495,0.9215418031673861,3.32640303239638
1.128233201346551,-0.9389641179929527,-0.7374424009364912,1.676406518929444,0.9404403777479605,3.1764377241461386,1.676616912228146,0.9403779463689588,3.1776733444079883
1.144793492826353,-0.9294671113322004,-0.7063902358314054,1.6358573471636058,0.9589000705599129,3.0351973045305827,1.6360565459388243,0.9588397050906305,3.0363637851678837
1.1609543322653275,-0.91978732389114,-0.6767151252331335,1.5965024491242734,0.9769968674870995,2.9009548073867277,1.5966907253847862,0.9769381712677494,2.9020559678674838
1.1767273073340487,-0.9099283479068454,-0.6483491164740557,1.5582774643809012,0.9947416377526797,2.77332020727157,1.5584550097124228,0.9946843002392902,2.774359320723202
1.192123432459576,-0.8998936378863542,-0.6212279388186694,1.5211215767050237,1.0121447048823051,2.651927692974648,1.5212898174008727,1.0120891290690381,2.6529101564410627
1.2071531036820662,-0.8896865653254646,-0.5952909133452344,1.484977478670699,1.0292157906169732,2.5364345670913107,1.4851367601439458,1.0291617771780726,2.5373635629642175
1.2218261676624549,-0.8793104023427928,-0.5704806675593851,1.4497910699021779,1.0459640871938962,2.4265193302951387,1.4499419195021956,1.0459115665014562,2.4273981924878285
1.23615194207211,-0.8687683339954355,-0.5467429494954779,1.4155112834909134,1.062398275273023,2.321880273492964,1.4156546264186498,1.0623475286985429,2.3227127825878044
1.2501392601908279,-0.8580634517688219,-0.524026411907629,1.382089863676451,1.0785265698370634,2.222233992207776,1.3822250610187603,1.0784766431884418,2.223021294367611
1.2637964432924853,-0.8471988011316667,-0.5022825236081256,1.3494813247397923,1.094356683066152,2.1273145082591425,1.3496092479765354,1.094307954088397,2.128059892651329
1.2771314451503586,-0.836177292687054,-0.4814652140546024,1.3176425067416564,1.1098959866129479,2.0368712698742115,1.3177647069290699,1.1098492603532795,2.037579111701973
1.2901517374310667,-0.8250018159246011,-0.4615309413740862,1.2865327572986873,1.1251513742461465,1.9506690433906835,1.286647659329243,1.125104955761791,1.9513386377374764
1.3028643983369435,-0.8136751935718182,-0.4424384412998529,1.256113634871671,1.1401293596225799,1.8684864452639522,1.2562223815765772,1.1400839406457863,1.8691211090055615
1.3152761850625982,-0.8022001371116854,-0.42414851919397495,1.2263486563056603,1.1548361576402613,1.7901147055026656,1.2264520967857018,1.1547920654579213,1.7907173082032768
1.3273934402726575,-0.7905793522626597,-0.40662409513578734,1.1972034473984472,1.1692775698201254,1.715357547679624,1.1973014771394452,1.1692344508424268,1.7159293003899039
